PHYSICS 145-Elementary Particle Physics 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f6a5ee47013b11c5891cca77ac84643d6d6d107fbc5e4f257d32a42cd57ab89d09e294447ce9ef068d8e699fed965668&ReportType=2&regl=en-US;12;4.10;8.00;Melissa Franklin;PHYSICS 145;2020
IGBO BA-Intermediate Igbo 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=485e45bdf842272befc98a194051260930480f8b9a25c1c2040ddcd1e2eac1d2e18f05a6f4adb781892b840965e09138&ReportType=2&regl=en-US;7;4.40;2.75;null;IGBO BA;2019
FRSEMR 71U-The Psychological Roots of Oppression 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d889a26dc67ff0cfe5d927ca1facf0b0a2ade8ff0079283e9884e3e7f7a3d5d493dd6b467534239e4fabcbdb59a43d9c&ReportType=2&regl=en-US;12;4.09;2.50;James Sidanius;FRSEMR 71U;2019
SYSBIO 220-Analysis foundations for quantitative biologists 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6f30080ed7ed5fdbdaa75be4a86e70011898c0936a82df741a5d630ea5e67131876b6cf653528f124a0602921c456bac&ReportType=2&regl=en-US;13;4.33;7.25;Andrew Murray;SYSBIO 220;2020
CHEM 160-The Quantum World 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0cb411f89e63701831b2c3396c710eddb9b689f9011b477e3fb385b3abf31f052bc867355638e62c11290ceb6c938dd3&ReportType=2&regl=en-US;27;3.73;7.52;Cynthia Friend;CHEM 160;2019
STAT 210-Probability I 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8c57898953863ab941d374dda95beb780290f318553c509eff545a699915bfbb49e27bea20b60199cceff3e6f006a100&ReportType=2&regl=en-US;53;4.49;9.76;Joseph Blitzstein;STAT 210;2019
ARABIC AA-Elementary Arabic I 004;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a4a6177f6c795bc45bc5163e4c1166c41990fbeb471500c2eacd2dc085c4acc29e5842f7c80ee083bc1e113cdde009da&ReportType=2&regl=en-US;10;4.56;9.00;Richard Cozzens;ARABIC AA;2020
HAA 291R-Topics in Pre-Columbian and Colonial Art 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a402820cce3e349662e9a80a0565be14ac13f2c678d6a6be93200af2191650aebab99f9aeb64d5677c486521f16f795b&ReportType=2&regl=en-US;7;4.29;8.43;Thomas Cummins;HAA 291R;2020
NEURO 101JB-Maps of the Brain -  How the Brain Organizes the World 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0399952aee621e6854ab454093da2f324203fa4f1d8b098ce85e495e2f70dac4400992dbf8048cd1b4af29140ef79a9f&ReportType=2&regl=en-US;6;4.80;2.67;null;NEURO 101JB;2021
EXPOS 20-Expository Writing 20 037;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=73db310d5dff3fd94fa5eddd1385e4f4efabd39c3f402906378e07aaa865b6dcc94059a78c43bff2cecea4e4891dfc60&ReportType=2&regl=en-US;10;3.70;6.50;Ezer Vierba;EXPOS 20;2020
HIST-LIT 90DY-Race and American Empire 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=755fd9e6e1df24b798e0f551c025a4cd4141140f6179edfcfe80aebb665ab48a593ad50b5b5857f41176a83c46715658&ReportType=2&regl=en-US;11;5.00;8.33;Ernest Mitchell;HIST-LIT 90DY;2020
ECON 2010C-Economic Theory 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1e0ffb8476184a2959017fed715bf55066b6cb7565cc689308ea104e5818fd6596707a8a89d3e1e6e834da347dc6f509&ReportType=2&regl=en-US;27;4.08;12.00;David Laibson;ECON 2010C;2020
FRSEMR 71P-Making Places and Spaces in Modern America 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6167f5ef035775ffe31ae331e762827fac153e557bf87699b7f655b7fc9c8fd5afa18da7bedb1b0d37b0a417d08dd14d&ReportType=2&regl=en-US;8;4.71;4.50;Lizabeth Cohen;FRSEMR 71P;2019
FRSEMR 62Y-Back to the Future: How the Past Imagined the Cities of Tomorrow 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0b59ce34dd1c012a0f4d841dba1fdde6b205c32145652048136fc7e588c8a6cdb7240cf2da9aacaabcc2028de66029c2&ReportType=2&regl=en-US;12;4.45;2.27;Bruno Carvalho;FRSEMR 62Y;2019
APCOMP 209A-Data Science 1: Introduction to Data Science 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cb3654b3e09476c4a5132ec898f1ad1075ab5cbf0feb29d1846b2ab1c7c4a273c616faf30993b65edb881e64eb97392f&ReportType=2&regl=en-US;293;3.81;12.10;Kevin A. Rader;APCOMP 209A, COMPSCI 109A, STAT 121A;2019
SOCIOL 1130-Student Leadership and Service in Higher Education 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=820f9eacf42559bceb3fa115234f594a476fbe87262259e24b10257d94e6661071426123ee33ed8e9ad451907272094d&ReportType=2&regl=en-US;16;4.83;4.91;Manja Klemencic;SOCIOL 1130;2021
ENG-SCI 285-Integrated Design 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0fe644da0d9e6734441c18dd81277ab78c054ea731fb28124e61ebfe3d7f1e8eb2630ccee816a6fc47423844c12833d8&ReportType=2&regl=en-US;28;2.05;6.29;B Altringer;ENG-SCI 285;2019
